Title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Hollywoo,"$20,587,850",-,-,"$20,587,850",100%
Country Strong,"$20,529,194","$20,218,921",98.50%,"$310,273",1.50%
Yarn,"$20,474,270",-,-,"$20,474,270",100%
One Hundred Thousand Bad Jokes 2,"$20,460,352",-,-,"$20,460,352",100%
Violet Evergarden: The Movie,"$20,339,624",-,-,"$20,339,624",100%
Brahms: The Boy II,"$20,311,536","$12,611,536",62.10%,"$7,700,000",37.90%
Devotion,"$20,271,405","$19,455,075",96%,"$816,330",4%
Scabbard Samurai,"$20,251,745",-,-,"$20,251,745",100%
Beck,"$20,219,060",-,-,"$20,219,060",100%
How Not to Rescue a Princess,"$20,157,447",-,-,"$20,157,447",100%
Turning Red,"$20,122,621",-,-,"$20,122,621",100%
This Is Tomas,"$20,084,169",-,-,"$20,084,169",100%
Kaiji 2: The Ultimate Gambler,"$19,971,259",-,-,"$19,971,259",100%
About Her Brother,"$19,969,473",-,-,"$19,969,473",100%
Trick the Movie: Psychic Battle Royale,"$19,795,115",-,-,"$19,795,115",100%
Ice 2,"$19,788,995",-,-,"$19,788,995",100%
Hello Ghost,"$19,774,455",-,-,"$19,774,455",100%
Stillwater,"$19,754,272","$14,465,535",73.20%,"$5,288,737",26.80%
Another Year,"$19,722,766","$3,205,706",16.30%,"$16,517,060",83.70%
The Banshees of Inisherin,"$19,716,456","$8,960,957",45.40%,"$10,755,499",54.60%
Roald Dahl's Matilda the Musical,"$19,700,000",-,-,"$19,700,000",100%
Youth in Revolt,"$19,651,093","$15,281,286",77.80%,"$4,369,807",22.20%
Hot Summer Days,"$19,573,451",-,-,"$19,573,451",100%
Soul Snatcher,"$19,561,221",-,-,"$19,561,221",100%
The Wolf and the Lion,"$19,510,578","$2,072,173",10.60%,"$17,438,405",89.40%
Buried,"$19,439,764","$1,044,143",5.40%,"$18,395,621",94.60%
The Turning,"$19,428,166","$15,472,775",79.60%,"$3,955,391",20.40%
The Specials,"$19,363,826",-,-,"$19,363,826",100%
Les Tuche 4,"$19,259,766",-,-,"$19,259,766",100%
The Servant,"$19,259,164",-,-,"$19,259,164",100%
Fate/stay night [Heaven's Feel] III. spring song,"$19,252,497","$200,000",1%,"$19,052,497",99%
After Ever Happy,"$19,155,062","$1,072,750",5.60%,"$18,082,312",94.40%
Those Who Wish Me Dead,"$19,127,330","$7,407,200",38.70%,"$11,720,130",61.30%
Dear Evan Hansen,"$19,123,994","$15,002,646",78.40%,"$4,121,348",21.60%
Norwegian Wood,"$19,115,721","$13,000",<0.1%,"$19,102,721",99.90%
Always Miss You,"$19,015,465","$91,884",0.50%,"$18,923,581",99.50%
Beast,"$18,911,959",-,-,"$18,911,959",100%
The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
An Officer and a Spy,"$18,899,214",-,-,"$18,899,214",100%
The Green Knight,"$18,888,418","$17,173,321",90.90%,"$1,715,097",9.10%
Three Thousand Years of Longing,"$18,881,663","$8,286,741",43.90%,"$10,594,922",56.10%
Head Over Heels,"$18,876,082",-,-,"$18,876,082",100%
Antlers,"$18,867,659","$10,619,670",56.30%,"$8,247,989",43.70%
School of Magical Animals,"$18,859,382",-,-,"$18,859,382",100%
Promising Young Woman,"$18,854,166","$6,460,965",34.30%,"$12,393,201",65.70%
Sinkhole,"$18,804,231",-,-,"$18,804,231",100%
Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,"$18,738,951",-,-,"$18,738,951",100%
Godfather,"$18,737,287",-,-,"$18,737,287",100%
Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
13 Assassins,"$18,689,058","$802,778",4.30%,"$17,886,280",95.70%
Greta,"$18,653,107","$10,532,219",56.50%,"$8,120,888",43.50%
Green Zone 2010 Re-release,"$18,495,045",-,-,"$18,495,045",100%
Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
Die Schule der magischen Tiere 2,"$18,248,643",-,-,"$18,248,643",100%
Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%
Freaky,"$18,073,433","$9,030,855",50%,"$9,042,578",50%
The Stronghold,"$18,066,143",-,-,"$18,066,143",100%
November,"$17,900,576",-,-,"$17,900,576",100%
The Promised Neverland,"$17,710,977",-,-,"$17,710,977",100%
Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%
Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%
Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
The Dry,"$17,424,378","$364,237",2.10%,"$17,060,141",97.90%
Triangle of Sadness,"$17,383,860","$4,086,011",23.50%,"$13,297,849",76.50%
Fall,"$17,377,065","$7,240,521",41.70%,"$10,136,544",58.30%
Digimon Adventure: Last Evolution Kizuna,"$17,361,009",-,-,"$17,361,009",100%
The Quintessential Quintuplets Movie,"$17,288,993","$502,000",2.90%,"$16,786,993",97.10%
Gintama: The Final,"$17,252,960",-,-,"$17,252,960",100%
Railway Heroes,"$17,223,704",-,-,"$17,223,704",100%
Simone: Woman of the Century,"$17,191,638",-,-,"$17,191,638",100%
Bye Bye Morons,"$16,955,924",-,-,"$16,955,924",100%
Baaghi 3,"$16,726,510","$721,439",4.30%,"$16,005,071",95.70%
Wunderschön,"$16,719,291",-,-,"$16,719,291",100%
Your Turn to Kill,"$16,511,822",-,-,"$16,511,822",100%
Cry Macho,"$16,481,544","$10,310,734",62.60%,"$6,170,810",37.40%
Reminiscence,"$16,430,773","$3,900,193",23.70%,"$12,530,580",76.30%
Father There Is Only One 3,"$16,112,265",-,-,"$16,112,265",100%
Legend No. 17,"$16,096,860",-,-,"$16,096,860",100%
I Still Believe,"$16,069,730","$9,868,521",61.40%,"$6,201,209",38.60%
Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
Radhe Shyam,"$15,954,804","$1,860,000",11.70%,"$14,094,804",88.30%
Blacklight,"$15,902,207","$9,591,094",60.30%,"$6,311,113",39.70%
Broker,"$15,882,749",-,-,"$15,882,749",100%
Operation Mincemeat,"$15,710,164",-,-,"$15,710,164",100%
Maison de retraite,"$15,567,804",-,-,"$15,567,804",100%
The Way Back,"$15,480,704","$13,590,514",87.80%,"$1,890,190",12.20%
The Night House,"$15,437,703","$7,100,581",46%,"$8,337,122",54%
Padre no hay más que uno 2: La llegada de la suegra,"$15,373,181",-,-,"$15,373,181",100%
Harry Potter and the Sorcerer's Stone 2021 Re-release,"$15,372,357","$799,342",5.20%,"$14,573,015",94.80%
Drive My Car,"$15,317,558","$2,352,240",15.40%,"$12,965,318",84.60%
Minari,"$15,312,445","$3,110,580",20.30%,"$12,201,865",79.70%
Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
Something About Love,"$15,204,017",-,-,"$15,204,017",100%
Anita,"$15,017,470","$556,632",3.70%,"$14,460,838",96.30%
Crayon Shin-chan: Mononoke Ninja Chinpuden,"$14,895,696",-,-,"$14,895,696",100%
Firestarter,"$14,889,250","$9,589,250",64.40%,"$5,300,000",35.60%
The Wolf of Wall Street 2022 Re-release,"$14,877,539",-,-,"$14,877,539",100%
X,"$14,779,858","$11,765,309",79.60%,"$3,014,549",20.40%
Bros,"$14,771,393","$11,628,165",78.70%,"$3,143,228",21.30%
Super-héros malgré lui,"$14,770,359",-,-,"$14,770,359",100%
The Chosen Season 3: Episode 1 & 2,"$14,679,613","$14,612,089",99.50%,"$67,524",0.50%
The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
The Personal History of David Copperfield,"$14,399,270","$1,876,298",13%,"$12,522,972",87%
And So the Baton Is Passed,"$14,368,469",-,-,"$14,368,469",100%
Nightlife,"$14,308,789",-,-,"$14,308,789",100%
The Duke,"$14,222,161","$1,526,970",10.70%,"$12,695,191",89.30%
Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
Pawn,"$14,193,957",-,-,"$14,193,957",100%
Bones and All,"$14,134,907","$7,834,907",55.40%,"$6,300,000",44.60%
Sword Art Online: Progressive - Aria of a Starless Night,"$14,037,060","$1,050,000",7.50%,"$12,987,060",92.50%
The Post 2020 Re-release,"$13,995,207",-,-,"$13,995,207",100%
Bodies Bodies Bodies,"$13,905,140","$11,446,602",82.30%,"$2,458,538",17.70%
Memory,"$13,897,255","$7,329,043",52.70%,"$6,568,212",47.30%
Christmas with the Chosen: The Messengers,"$13,728,000","$13,728,000",100%,-,-
Eiffel,"$13,649,605","$444,814",3.30%,"$13,204,791",96.70%
Land of Legends,"$13,459,101",-,-,"$13,459,101",100%
OSS 117: From Africa with Love,"$13,457,801",-,-,"$13,457,801",100%
#Alive,"$13,432,212",-,-,"$13,432,212",100%
Howling Village,"$13,394,556",-,-,"$13,394,556",100%
Glass Onion: A Knives Out Mystery,"$13,280,000","$13,280,000",100%,-,-
Valimai,"$13,276,393",-,-,"$13,276,393",100%
Come Play,"$13,182,254","$10,475,990",79.50%,"$2,706,264",20.50%
Hostage: Missing Celebrity,"$13,125,970",-,-,"$13,125,970",100%
Easter Sunday,"$13,071,438","$13,013,690",99.60%,"$57,748",0.40%
The Many Saints of Newark,"$13,058,293","$8,237,403",63.10%,"$4,820,890",36.90%
Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
Monkey King Reborn,"$13,002,635",-,-,"$13,002,635",100%
No Escapes,"$12,916,151",-,-,"$12,916,151",100%
The Bodin's in the Land of Smile,"$12,872,253",-,-,"$12,872,253",100%
Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%
Another Round,"$12,742,455",-,-,"$12,742,455",100%
News of the World,"$12,668,325","$12,668,325",100%,-,-
The Worst Person in the World,"$12,654,710","$3,034,775",24%,"$9,619,935",76%
Collectors,"$12,640,113",-,-,"$12,640,113",100%
Character,"$12,628,017",-,-,"$12,628,017",100%
On the Line,"$12,533,030",-,-,"$12,533,030",100%
Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
Terrifier 2,"$12,300,861","$10,640,105",86.50%,"$1,660,756",13.50%
"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$12,291,650",-,-,"$12,291,650",100%
Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$12,221,804",-,-,"$12,221,804",100%
Moonage Daydream,"$12,211,921","$4,218,925",34.50%,"$7,992,996",65.50%
Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%
Even if This Love Disappears from the World Tonight,"$12,105,747",-,-,"$12,105,747",100%
On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
Laal Singh Chaddha,"$12,093,536","$3,401,324",28.10%,"$8,692,212",71.90%
Whitney Houston: I Wanna Dance with Somebody,"$12,070,000","$9,470,000",78.50%,"$2,600,000",21.50%
Alienoid,"$12,067,556","$168,309",1.40%,"$11,899,247",98.60%
Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%
Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
She Said,"$11,450,929","$5,825,995",50.90%,"$5,624,934",49.10%
The Fabelmans,"$11,392,895","$10,827,975",95%,"$564,920",5%
The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
Bergen,"$11,325,405",-,-,"$11,325,405",100%
What Did You Eat Yesterday?,"$11,320,893",-,-,"$11,320,893",100%
Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%
Aline,"$11,149,943","$667,815",6%,"$10,482,128",94%
30 jours max,"$11,007,713",-,-,"$11,007,713",100%
Bigfoot Family,"$10,987,975",-,-,"$10,987,975",100%
The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%
Let Him Go,"$10,835,686","$9,358,025",86.40%,"$1,477,661",13.60%
One Second,"$10,791,301",-,-,"$10,791,301",100%
Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
Two by Two: Overboard!,"$10,626,952",-,-,"$10,626,952",100%
Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
The Hunt,"$10,550,350","$5,812,500",55.10%,"$4,737,850",44.90%
Warriors of Future,"$10,490,328",-,-,"$10,490,328",100%
Krack,"$10,442,916",-,-,"$10,442,916",100%
Chickenhare and the Hamster of Darkness,"$10,396,668",-,-,"$10,396,668",100%
Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%
Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%
"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
The Last Warrior,"$10,341,512",-,-,"$10,341,512",100%
Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
Never Stop,"$10,224,935",-,-,"$10,224,935",100%
My Spy,"$10,200,000",-,-,"$10,200,000",100%
Rise,"$10,179,767",-,-,"$10,179,767",100%
Vaillante,"$10,143,170",-,-,"$10,143,170",100%
Table for Six,"$10,138,355",-,-,"$10,138,355",100%
The Asadas,"$10,066,797",-,-,"$10,066,797",100%
Beauty and the Beast 2020 Re-release,"$10,055,094","$467,000",4.60%,"$9,588,094",95.40%
Ainbo,"$10,047,797",-,-,"$10,047,797",100%
Smack Dab Kakha,"$9,995,945",-,-,"$9,995,945",100%
F3: Fun and Frustration,"$9,849,193","$1,195,000",12.10%,"$8,654,193",87.90%
Black Box,"$9,738,741",-,-,"$9,738,741",100%
Eiga Sumikkogurashi: Aoi tsukiyo no mahô no ko,"$9,735,732",-,-,"$9,735,732",100%
Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
100% Wolf,"$9,642,701","$658,764",6.80%,"$8,983,937",93.20%
Spider-Man: No Way Home 2022 Re-release,"$9,613,518","$9,321,593",97%,"$291,925",3%
The Soul,"$9,600,000",-,-,"$9,600,000",100%
Rheingold,"$9,598,008",-,-,"$9,598,008",100%
¡A todo tren! Destino Asturias,"$9,544,171",-,-,"$9,544,171",100%
Talk to Her Undated France Release,"$9,541,068",-,-,"$9,541,068",100%
"Good Luck to You, Leo Grande","$9,495,095",-,-,"$9,495,095",100%
Baragaki: Unbroken Samurai,"$9,481,437",-,-,"$9,481,437",100%
10 Days with Dad,"$9,472,077","$2,359",<0.1%,"$9,469,718",100%
Secret Zoo,"$9,471,940",-,-,"$9,471,940",100%
Redeeming Love,"$9,464,198","$9,214,020",97.40%,"$250,178",2.60%
365 Days,"$9,458,590",-,-,"$9,458,590",100%
Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
Pearl,"$9,423,445","$9,423,445",100%,-,-
L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
Dad,"$9,267,397",-,-,"$9,267,397",100%
Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
The Closet,"$9,039,424",-,-,"$9,039,424",100%
Till,"$9,000,202","$9,000,202",100%,-,-
Malasaña 32,"$8,968,845",-,-,"$8,968,845",100%
Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
I Hate Summer,"$8,926,071",-,-,"$8,926,071",100%
All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
Downhill,"$8,899,195","$8,287,061",93.10%,"$612,134",6.90%
Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
The Eleventh Chapter,"$8,844,997",-,-,"$8,844,997",100%
The Medium,"$8,826,689",-,-,"$8,826,689",100%
The Vault,"$8,803,864",-,-,"$8,803,864",100%
Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
The Protégé,"$8,737,253","$7,446,823",85.20%,"$1,290,430",14.80%
The Secret Garden,"$8,721,243",-,-,"$8,721,243",100%
Sword Art Online: Progressive - Scherzo of Deep Night,"$8,695,854",-,-,"$8,695,854",100%
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$8,658,041",-,-,"$8,658,041",100%
Lost Illusions,"$8,627,624","$126,391",1.50%,"$8,501,233",98.50%
Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
Agent Backkom: Kings Bear,"$8,578,734",-,-,"$8,578,734",100%
Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%
Life Is Beautiful,"$8,458,639",-,-,"$8,458,639",100%
Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
Malang,"$8,399,765",-,-,"$8,399,765",100%
From Siberia with Love,"$8,387,592",-,-,"$8,387,592",100%
The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
Delicious,"$8,356,097",-,-,"$8,356,097",100%
Don,"$8,287,406",-,-,"$8,287,406",100%
Dziewczyny z Dubaju,"$8,244,711",-,-,"$8,244,711",100%
Vikram Vedha,"$8,234,166","$1,589,362",19.30%,"$6,644,804",80.70%
I Don't Have Any Money Left in My Retirement Account,"$8,204,616",-,-,"$8,204,616",100%
White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
Karada Sagashi,"$8,166,175",-,-,"$8,166,175",100%
New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
Pil's Adventures,"$8,065,851",-,-,"$8,065,851",100%
Acharya,"$8,048,175","$832,000",10.30%,"$7,216,175",89.70%
Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%
"My Donkey, My Lover & I","$7,973,799","$152,184",1.90%,"$7,821,615",98.10%
AI Amok,"$7,932,191",-,-,"$7,932,191",100%
Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
Ducobu Président !,"$7,858,171",-,-,"$7,858,171",100%
The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
Antebellum,"$7,792,716",-,-,"$7,792,716",100%
Contra,"$7,762,797",-,-,"$7,762,797",100%
The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,-,"$7,732,435",100%
Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
Dr. Coto's Clinic,"$7,664,772",-,-,"$7,664,772",100%
Hard Hit,"$7,658,021",-,-,"$7,658,021",100%
The Heist of the Century,"$7,627,100",-,-,"$7,627,100",100%
Little Canned Men,"$7,600,000",-,-,"$7,600,000",100%
Pushpa: The Rise - Part 1,"$7,592,374","$1,320,000",17.40%,"$6,272,374",82.60%
Phases of the Moon,"$7,564,756",-,-,"$7,564,756",100%
The Mauritanian,"$7,527,030","$836,536",11.10%,"$6,690,494",88.90%
777 Charlie,"$7,523,995",-,-,"$7,523,995",100%
The Ice Road,"$7,502,846",-,-,"$7,502,846",100%
De Gaulle,"$7,501,454",-,-,"$7,501,454",100%
Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
Judas and the Black Messiah,"$7,428,769","$5,478,009",73.70%,"$1,950,760",26.30%
Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
Signal: The Movie,"$7,388,603",-,-,"$7,388,603",100%
Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
The Best Years,"$7,354,812",-,-,"$7,354,812",100%
Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%
How About Adolf?,"$7,330,755",-,-,"$7,330,755",100%
Laid-Back Camp: The Movie,"$7,317,913",-,-,"$7,317,913",100%
Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%
Mamma Mia! Here We Go Again 2020 Re-release,"$7,220,137",-,-,"$7,220,137",100%
Listy do M. 5,"$7,175,333",-,-,"$7,175,333",100%
The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
Bohemian Rhapsody 2020 Re-release,"$7,154,052","$240,000",3.40%,"$6,914,052",96.60%
Decibel,"$7,128,491","$60,579",0.80%,"$7,067,912",99.20%
Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
Adu,"$7,085,946",-,-,"$7,085,946",100%
Fatale,"$7,031,289","$6,306,897",89.70%,"$724,392",10.30%
Mobile Suit Gundam: Cucuruz Doan's Island,"$7,006,640",-,-,"$7,006,640",100%
Spycies,"$6,989,285",-,-,"$6,989,285",100%
Dragon Rider,"$6,974,429",-,-,"$6,974,429",100%
Jim Button and the Wild 13,"$6,934,920",-,-,"$6,934,920",100%
Menteur 2022 Re-release,"$6,899,633",-,-,"$6,899,633",100%
The New Toy,"$6,783,391",-,-,"$6,783,391",100%
Rabbit Academy,"$6,744,020",-,-,"$6,744,020",100%
Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%
Innocence,"$6,659,968",-,-,"$6,659,968",100%
Babylon,"$6,646,890","$6,646,890",100%,-,-
Finnick,"$6,630,871",-,-,"$6,630,871",100%
National Theatre Live: Prima Facie,"$6,589,048",-,-,"$6,589,048",100%
Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
Chhapaak,"$6,532,100","$604,334",9.30%,"$5,927,766",90.70%
"Love Me, Love Me Not","$6,494,241",-,-,"$6,494,241",100%
Hammamet,"$6,434,874",-,-,"$6,434,874",100%
Honest Candidate 2,"$6,433,696",-,-,"$6,433,696",100%
"Farewell, Mr. Haffmann","$6,417,032",-,-,"$6,417,032",100%
Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
Cyrano,"$6,396,730","$3,873,124",60.50%,"$2,523,606",39.50%
Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
Mascarade,"$6,341,790",-,-,"$6,341,790",100%
Marcel the Shell with Shoes On,"$6,334,075","$6,333,702",100%,$373,<0.1%
Hero,"$6,330,332",-,-,"$6,330,332",100%
Simply Black,"$6,323,750",-,-,"$6,323,750",100%
My Boyfriend's Meds,"$6,292,780","$2,971,116",47.20%,"$3,321,664",52.80%
Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.80%,"$2,834,367",45.20%
Chempion mira,"$6,241,731",-,-,"$6,241,731",100%
Yolki 9,"$6,204,367",-,-,"$6,204,367",100%
Hotel Belgrade,"$6,199,413",-,-,"$6,199,413",100%
The Exorcism of God,"$6,102,053",-,-,"$6,102,053",100%
God's Crooked Lines,"$6,060,070",-,-,"$6,060,070",100%
Notre-Dame on Fire,"$6,059,323",-,-,"$6,059,323",100%
Kingmaker,"$6,049,522",-,-,"$6,049,522",100%
How to Be a Good Wife,"$6,029,102",-,-,"$6,029,102",100%
The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
Vikrant Rona,"$6,020,595",-,-,"$6,020,595",100%
The Rhythm Section,"$5,989,583","$5,437,971",90.80%,"$551,612",9.20%
A Piece of Cake,"$5,986,875",-,-,"$5,986,875",100%
How I Became a Gangster,"$5,975,729",-,-,"$5,975,729",100%
Jeepers Creepers: Reborn,"$5,954,938","$2,033,057",34.10%,"$3,921,881",65.90%
Twiceborn,"$5,880,157","$11,527",0.20%,"$5,868,630",99.80%
The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
The Lion King 2020 Re-release,"$5,773,266",-,-,"$5,773,266",100%
Last Letter,"$5,663,972",-,-,"$5,663,972",100%
Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
Hocus Pocus 2020 Re-release,"$5,609,193","$4,828,000",86.10%,"$781,193",13.90%
Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
Mama Weed,"$5,461,144","$29,151",0.50%,"$5,431,993",99.50%
Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
Cats & Dogs 3: Paws Unite,"$5,270,750",-,-,"$5,270,750",100%
Cindy la Regia,"$5,222,322",-,-,"$5,222,322",100%
Run,"$5,184,368",-,-,"$5,184,368",100%
Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
Masked Ward,"$5,107,013",-,-,"$5,107,013",100%
Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
Mayday,"$5,011,408",-,-,"$5,011,408",100%
Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%
Military Wives,"$4,890,505",-,-,"$4,890,505",100%
Panga,"$4,886,124","$582,720",11.90%,"$4,303,404",88.10%
The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%
Streltsov,"$4,850,073",-,-,"$4,850,073",100%
The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
