Title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Escape Room: Tournament of Champions,"$65,774,490","$25,314,753",38.50%,"$40,459,737",61.50%
The Age of Adaline,"$65,663,276","$42,629,776",64.90%,"$23,033,500",35.10%
Eiga Doraemon: Nobita no getsumen tansaki,"$65,406,606",-,-,"$65,406,606",100%
Moonlight,"$65,336,603","$27,854,932",42.60%,"$37,481,671",57.40%
The House That Never Dies,"$65,220,000",-,-,"$65,220,000",100%
Stand by Me Doraemon 2,"$65,201,374",-,-,"$65,201,374",100%
Something Borrowed,"$65,100,369","$39,046,489",60%,"$26,053,880",40%
The Pirates,"$64,858,224","$415,775",0.60%,"$64,442,449",99.40%
Hot Tub Time Machine,"$64,735,752","$50,287,556",77.70%,"$14,448,196",22.30%
Belle,"$64,667,894","$4,018,313",6.20%,"$60,649,581",93.80%
God's Not Dead,"$64,667,874","$60,755,732",94%,"$3,912,142",6%
The Darkest Hour,"$64,626,786","$21,443,494",33.20%,"$43,183,292",66.80%
Happy Death Day 2U,"$64,600,152","$28,148,130",43.60%,"$36,452,022",56.40%
L Storm,"$64,517,456",-,-,"$64,517,456",100%
Monster Trucks,"$64,493,915","$33,370,166",51.70%,"$31,123,749",48.30%
Monk Comes Down the Mountain,"$64,455,686",-,-,"$64,455,686",100%
Capernaum,"$64,417,003","$1,661,096",2.60%,"$62,755,907",97.40%
Fences,"$64,414,761","$57,682,904",89.50%,"$6,731,857",10.50%
Zhongkui: Snow Girl and the Dark Crystal,"$64,325,947","$165,428",0.30%,"$64,160,519",99.70%
Isle of Dogs,"$64,241,499","$32,015,231",49.80%,"$32,226,268",50.20%
Suck Me Shakespeer 3,"$64,236,772",-,-,"$64,236,772",100%
The Rescue,"$64,203,587","$18,797",<0.1%,"$64,184,790",100%
